dataset_id,dataset_name,model,instances,features,processed_features,n_classes,train_val_accuracy,train_val_auc_ovo,train_val_cross_entropy,test_accuracy,test_auc_ovo,test_cross_entropy,time,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,bootstrap,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,num_leaves,min_child_samples,min_split_gain,reg_alpha,reg_lambda,feature_fraction,bagging_fraction,bagging_freq,bootstrap_type,iterations,depth,l2_leaf_reg,random_strength,od_wait,bagging_temperature,C,kernel,probability
23381,dresses-sales,rf,500.0,13.0,156,2,0.805,0.8988736658456487,0.4865856770014614,0.59,0.6005747126436782,0.6715515781926225,1.3577370643615723,697.0,23.0,13.0,7.0,,True,,,,,,,,,,,,,,,,,,,,,,,
23381,dresses-sales,xgb,500.0,13.0,156,2,0.69,0.7439321633825944,0.5904771650933666,0.55,0.6128899835796388,0.6918031553931082,1.3233072757720947,1742.0,7.0,,,,,0.2869206858186047,0.5851117724136131,0.5755808917324402,5.0,4.771521538515876,,,,,,,,,,,,,,,,,,
23381,dresses-sales,lgb,500.0,13.0,156,2,0.6875,0.7793385673234812,0.5682158473855402,0.6,0.6104269293924466,0.6730235346813841,0.07361316680908203,1096.0,11.0,,,,,0.010078336117838952,0.9125244120586542,0.8003557979218913,0.005798161218474271,,113.0,30.0,0.4767776966794309,0.575112763280583,0.003992406296736768,0.8534737511912277,0.8521653605822016,10.0,,,,,,,,,,
23381,dresses-sales,cat,500.0,13.0,156,2,0.8775,0.9619894293924466,0.3806800269461244,0.56,0.6342364532019704,0.6967271576877887,0.27871108055114746,,,,,,,0.0505913102631361,,,,,,,,,,,,,Bayesian,449.0,3.0,0.024915190625885944,0.0031714638671455977,11.0,4.999909258573875,,,
23381,dresses-sales,svm,500.0,13.0,156,2,0.59,0.7287176724137931,0.6054795050732535,0.58,0.6956075533661741,0.6348961427774917,0.06602621078491211,,,,,,,,,,,0.002667859630342623,,,,,,,,,,,,,,,,0.012652217485653643,linear,True
1063,kc2,rf,522.0,22.0,21,2,0.9016786570743405,0.9403968816442241,0.25151124428959337,0.8,0.7549288061336255,0.49472605970431804,1.261861801147461,1099.0,35.0,16.0,15.0,sqrt,False,,,,,,,,,,,,,,,,,,,,,,,
1063,kc2,xgb,522.0,22.0,21,2,0.8705035971223022,0.8981218993621546,0.3042591020613733,0.8285714285714286,0.7593099671412924,0.45672725873236797,0.27701807022094727,1382.0,3.0,,,,,0.2652189979582704,0.8668514036905197,0.7643083359703312,8.0,7.935834012055617,,,,,,,,,,,,,,,,,,
1063,kc2,lgb,522.0,22.0,21,2,0.9232613908872902,0.942611622962438,0.22757352850212287,0.7904761904761904,0.6333515881708653,0.5500458942525177,0.07345199584960938,1162.0,24.0,,,,,0.033001809175706706,0.795848181124696,0.8674551896610472,0.01645937442674886,,157.0,113.0,0.12741316522452714,0.0011820682986888537,1.320118124147116e-08,0.9711996137424085,0.7256683216806656,4.0,,,,,,,,,,
1063,kc2,cat,522.0,22.0,21,2,0.9904076738609112,0.996917080085046,0.03680220296149957,0.8095238095238095,0.7237130339539978,1.0777867993308279,0.3247077465057373,,,,,,,0.13627807107441237,,,,,,,,,,,,,Bayesian,410.0,4.0,8.883579947386446e-06,0.0007407107191860233,23.0,1.8364729079675959,,,
1063,kc2,svm,522.0,22.0,21,2,0.7961630695443646,0.8638022678951098,0.3803127428661134,0.7904761904761904,0.77026286966046,0.4479740242816867,0.033190011978149414,,,,,,,,,,,0.6273892777936272,,,,,,,,,,,,,,,,0.057014873233262965,rbf,True
6332,cylinder-bands,rf,540.0,40.0,160,2,0.9282407407407407,0.9889450549450549,0.39466660078241095,0.8425925925925926,0.9372370266479663,0.47117289309553895,1.1434085369110107,1018.0,7.0,20.0,1.0,sqrt,False,,,,,,,,,,,,,,,,,,,,,,,
6332,cylinder-bands,xgb,540.0,40.0,160,2,0.9444444444444444,0.9886153846153846,0.2505623430389777,0.8148148148148148,0.9018232819074334,0.39729764163713105,1.418511152267456,1777.0,13.0,,,,,0.053376091686629254,0.6463578391199246,0.8531902676321567,3.0,2.811144321607321,,,,,,,,,,,,,,,,,,
6332,cylinder-bands,lgb,540.0,40.0,160,2,1.0,1.0,0.08954954631595591,0.8518518518518519,0.9312762973352033,0.3305709747687161,0.2281334400177002,748.0,23.0,,,,,0.01245951245111082,0.6112363291872751,0.8155318282735298,1.9671168274050637,,20.0,8.0,0.06422602821641396,6.657126399852456e-06,0.8234011741734495,0.500211531133718,0.9619826515876956,8.0,,,,,,,,,,
6332,cylinder-bands,cat,540.0,40.0,160,2,1.0,1.0,0.012979227865515933,0.8796296296296297,0.9446002805049089,0.31000606962130584,3.420734405517578,,,,,,,0.019888580345169805,,,,,,,,,,,,,Bayesian,473.0,9.0,0.956347657428012,2.541956220148823e-07,43.0,0.5503889615179727,,,
6332,cylinder-bands,svm,540.0,40.0,160,2,0.8564814814814815,0.9206373626373625,0.3956904782774095,0.7685185185185185,0.8257363253856942,0.49828202529794097,0.05535626411437988,,,,,,,,,,,0.8503746365628483,,,,,,,,,,,,,,,,0.585352984422616,linear,True
40994,climate-model-simulation-crashes,rf,540.0,21.0,18,2,0.9560185185185185,0.9838179952104003,0.0895276101832346,0.9166666666666666,0.8810325476992144,0.4805716932738189,5.356055736541748,1807.0,45.0,14.0,8.0,,False,,,,,,,,,,,,,,,,,,,,,,,
40994,climate-model-simulation-crashes,xgb,540.0,21.0,18,2,0.9814814814814815,0.996920971604516,0.07712067605899205,0.9629629629629629,0.9292929292929293,0.13292080793132174,0.45750927925109863,1837.0,8.0,,,,,0.024784244859636984,0.8422545971831018,0.9477286094732582,4.0,3.059846333485261,,,,,,,,,,,,,,,,,,
40994,climate-model-simulation-crashes,lgb,540.0,21.0,18,2,0.9953703703703703,1.0,0.03750697610199953,0.9537037037037037,0.9259259259259259,0.14016688048671938,0.13097095489501953,1812.0,3.0,,,,,0.006883573622653959,0.7755822020988818,0.5101683168773112,0.0010124707743386094,,199.0,66.0,0.6941736438210098,4.574825977513664e-05,3.350775924983209e-06,0.7986368742846259,0.8793040904099942,5.0,,,,,,,,,,
40994,climate-model-simulation-crashes,cat,540.0,21.0,18,2,1.0,1.0,0.0006656380153801022,0.9722222222222222,0.8933782267115601,0.19756198272345882,10.39813232421875,,,,,,,0.14006626568643013,,,,,,,,,,,,,MVS,774.0,9.0,0.08020187056040051,0.01408245550460385,10.0,,,,
40994,climate-model-simulation-crashes,svm,540.0,21.0,18,2,0.9907407407407407,0.9997263085870681,0.05062237683831897,0.9537037037037037,0.9191919191919192,0.20926004005971496,0.020947694778442383,,,,,,,,,,,0.1921362280736523,,,,,,,,,,,,,,,,9.881677588390913,rbf,True
1510,wdbc,rf,569.0,31.0,30,2,1.0,1.0,2.2204460492503136e-16,0.9649122807017544,0.9927248677248678,0.11309573466631281,0.23467707633972168,114.0,20.0,2.0,1.0,sqrt,False,,,,,,,,,,,,,,,,,,,,,,,
1510,wdbc,xgb,569.0,31.0,30,2,1.0,1.0,0.015875584028046494,0.9736842105263158,0.9957010582010581,0.08361831999909305,0.7845122814178467,1127.0,10.0,,,,,0.006705617765752338,0.9342324007919849,0.5628536960097362,1.0,0.06510364958267861,,,,,,,,,,,,,,,,,,
1510,wdbc,lgb,569.0,31.0,30,2,1.0,1.0,0.0030417021710799335,0.9736842105263158,0.9950396825396826,0.08473156963558744,0.2007923126220703,1628.0,9.0,,,,,0.023243744506465786,0.5648087862763103,0.799795106645688,0.03409942371998986,,199.0,31.0,0.0011212035504992517,4.8389494556565236e-05,1.911543608708062,0.7712017044616049,0.7264989999274531,3.0,,,,,,,,,,
1510,wdbc,cat,569.0,31.0,30,2,1.0,1.0,4.579966444412272e-05,0.9824561403508771,0.9986772486772486,0.09691962712952278,2.3658950328826904,,,,,,,0.03962560012978091,,,,,,,,,,,,,Bayesian,890.0,6.0,0.00011903106122949351,0.0021596986626412932,36.0,9.845441442233488,,,
1510,wdbc,svm,569.0,31.0,30,2,0.9802197802197802,0.9952734778121775,0.06698416488210104,0.9824561403508771,0.9966931216931217,0.07003620616261966,0.022921323776245117,,,,,,,,,,,0.1956882159508974,,,,,,,,,,,,,,,,6.047820998595429,rbf,True
1480,ilpd,rf,583.0,11.0,11,2,1.0,1.0,0.15566440462667086,0.6068376068376068,0.6445783132530121,0.5731605934675676,2.05415415763855,1419.0,31.0,3.0,1.0,sqrt,True,,,,,,,,,,,,,,,,,,,,,,,
1480,ilpd,xgb,583.0,11.0,11,2,1.0,1.0,0.02593698924685861,0.6324786324786325,0.6162296243798725,1.0615129347730394,0.2982487678527832,1797.0,7.0,,,,,0.2891255872238869,0.9134982180766282,0.8006619623435434,2.0,0.06013482929651476,,,,,,,,,,,,,,,,,,
1480,ilpd,lgb,583.0,11.0,11,2,1.0,1.0,0.017364562638756718,0.6068376068376068,0.6222537207654146,1.2294875619537833,0.19200587272644043,1989.0,11.0,,,,,0.14348478461379163,0.6489891214879415,0.8785157140641753,1.738569658826068,,160.0,17.0,0.007634948582932061,0.03618125116000303,0.12339417703069656,0.7490143979757652,0.7431563059094402,5.0,,,,,,,,,,
