Dataset,Modelo,Conjunto,AUC OVO,Accuracy,Cross-Entropy,Tempo (s)
23381,SAINT,Treino,0.9963,0.9650,0.0889,6.82
23381,SAINT,Teste,0.6096,0.5300,1.7258,6.82
23381,LightGBM,Treino,0.8025,0.7175,0.5684,0.05
23381,LightGBM,Teste,0.6260,0.5700,0.6632,0.05
23381,XGBoost,Treino,0.8403,0.7775,0.5047,0.14
23381,XGBoost,Teste,0.6067,0.5500,0.7288,0.14
23381,CatBoost,Treino,0.7537,0.5800,0.6892,0.62
23381,CatBoost,Teste,0.6552,0.5800,0.6897,0.62
1063,SAINT,Treino,0.8505,0.8369,0.3641,1.01
1063,SAINT,Teste,0.8776,0.8857,0.3143,1.01
1063,LightGBM,Treino,0.8822,0.8513,0.3397,0.02
1063,LightGBM,Teste,0.8959,0.8952,0.3101,0.02
1063,XGBoost,Treino,0.9196,0.8921,0.2724,0.12
1063,XGBoost,Teste,0.8949,0.8857,0.2821,0.12
1063,CatBoost,Treino,0.8482,0.8441,0.3882,0.41
1063,CatBoost,Teste,0.8773,0.8952,0.3439,0.41
6332,SAINT,Treino,0.9995,0.9954,0.0198,5.79
6332,SAINT,Teste,0.8236,0.7685,1.1270,5.79
6332,LightGBM,Treino,0.9993,0.9815,0.0719,0.32
6332,LightGBM,Teste,0.8436,0.7593,0.4980,0.32
6332,XGBoost,Treino,0.9832,0.9375,0.2613,0.19
6332,XGBoost,Teste,0.8138,0.7222,0.5058,0.19
6332,CatBoost,Treino,0.9216,0.8356,0.4836,0.62
6332,CatBoost,Teste,0.7889,0.7222,0.5642,0.62
40994,SAINT,Treino,0.9904,0.9954,0.0328,2.86
40994,SAINT,Teste,0.9764,0.9537,0.1082,2.86
40994,LightGBM,Treino,0.9948,0.9907,0.0705,0.06
40994,LightGBM,Teste,0.9921,0.9537,0.0836,0.06
40994,XGBoost,Treino,0.9900,0.9769,0.0900,0.15
40994,XGBoost,Teste,0.9854,0.9722,0.1001,0.15
40994,CatBoost,Treino,0.9305,0.9144,0.6295,0.26
40994,CatBoost,Teste,0.9473,0.9167,0.6292,0.26
1510,SAINT,Treino,0.9982,0.9890,0.0415,2.23
1510,SAINT,Teste,0.9954,0.9737,0.1007,2.23
1510,LightGBM,Treino,0.9949,0.9846,0.0886,0.04
1510,LightGBM,Teste,0.9944,0.9386,0.1194,0.04
1510,XGBoost,Treino,1.0000,0.9978,0.0188,0.13
1510,XGBoost,Teste,0.9907,0.9649,0.1119,0.13
1510,CatBoost,Treino,0.9885,0.9407,0.5839,0.37
1510,CatBoost,Teste,0.9878,0.9123,0.5853,0.37
1480,SAINT,Treino,0.8041,0.7468,0.4617,2.19
1480,SAINT,Teste,0.7335,0.7179,0.5266,2.19
1480,LightGBM,Treino,0.8051,0.7532,0.4822,0.01
1480,LightGBM,Teste,0.7158,0.6667,0.5386,0.01
1480,XGBoost,Treino,0.8561,0.7854,0.4217,0.09
1480,XGBoost,Teste,0.6924,0.6838,0.5750,0.09
1480,CatBoost,Treino,0.7869,0.7446,0.4920,0.32
1480,CatBoost,Teste,0.7505,0.6838,0.5102,0.32
11,SAINT,Treino,0.0016,0.9860,0.0543,2.49
11,SAINT,Teste,0.0143,0.9440,0.1542,2.49
11,LightGBM,Treino,0.0739,0.8740,0.3023,0.23
11,LightGBM,Teste,0.2138,0.8320,0.4259,0.23
11,XGBoost,Treino,0.0206,0.9360,0.2266,0.19
11,XGBoost,Teste,0.1074,0.9120,0.3019,0.19
11,CatBoost,Treino,0.1743,0.4610,0.9476,0.66
11,CatBoost,Teste,0.3220,0.4598,0.9548,0.66
29,SAINT,Treino,0.9545,0.8877,0.2612,3.49
29,SAINT,Teste,0.9276,0.8696,0.3757,3.49
29,LightGBM,Treino,0.9636,0.8841,0.2718,0.02
29,LightGBM,Teste,0.9457,0.8841,0.2899,0.02
29,XGBoost,Treino,0.9795,0.9257,0.2037,0.12
29,XGBoost,Teste,0.9493,0.8841,0.2777,0.12
29,CatBoost,Treino,0.9382,0.8478,0.5657,0.49
29,CatBoost,Teste,0.9327,0.8841,0.5538,0.49
15,SAINT,Treino,0.9992,0.9893,0.0264,4.15
15,SAINT,Teste,0.9932,0.9571,0.1223,4.15
15,LightGBM,Treino,0.9999,0.9946,0.0210,0.03
15,LightGBM,Teste,0.9921,0.9643,0.1035,0.03
15,XGBoost,Treino,0.9952,0.9767,0.0763,0.09
15,XGBoost,Teste,0.9912,0.9714,0.1056,0.09
15,CatBoost,Treino,0.9953,0.9750,0.0942,0.37
15,CatBoost,Teste,0.9912,0.9571,0.1159,0.37
188,SAINT,Treino,0.0000,0.9966,0.0440,7.69
188,SAINT,Teste,0.1272,0.6486,1.5789,7.69
188,LightGBM,Treino,0.0044,0.9473,0.2681,0.32
188,LightGBM,Teste,0.1017,0.6216,0.7742,0.32
188,XGBoost,Treino,0.0043,0.9473,0.2937,0.52
188,XGBoost,Teste,0.1137,0.6216,0.8062,0.52
188,CatBoost,Treino,0.0997,0.2621,1.2526,1.43
188,CatBoost,Teste,0.1769,0.2645,1.2984,1.43
1464,SAINT,Treino,0.7734,0.8094,0.4541,2.32
1464,SAINT,Teste,0.7398,0.7533,0.5182,2.32
1464,LightGBM,Treino,0.7763,0.8043,0.4601,0.04
1464,LightGBM,Teste,0.7309,0.7533,0.4978,0.04
1464,XGBoost,Treino,0.8101,0.8244,0.4212,0.09
1464,XGBoost,Teste,0.7228,0.7467,0.5026,0.09
1464,CatBoost,Treino,0.7531,0.7625,0.6241,0.28
1464,CatBoost,Teste,0.7010,0.7600,0.6288,0.28
37,SAINT,Treino,0.8266,0.7834,0.4884,2.02
37,SAINT,Teste,0.8404,0.7662,0.4799,2.02
37,LightGBM,Treino,0.9576,0.8827,0.2932,0.08
37,LightGBM,Teste,0.8556,0.7922,0.4558,0.08
37,XGBoost,Treino,0.9173,0.8420,0.3696,0.10
37,XGBoost,Teste,0.8780,0.8117,0.4271,0.10
37,CatBoost,Treino,0.8569,0.7736,0.4843,0.32
37,CatBoost,Teste,0.8761,0.7987,0.4716,0.32
469,SAINT,Treino,0.2814,0.3485,1.5669,4.84
469,SAINT,Teste,0.4371,0.1938,2.0065,4.84
469,LightGBM,Treino,0.3507,0.2779,1.6936,0.09
469,LightGBM,Teste,0.4355,0.1812,1.8108,0.09
469,XGBoost,Treino,0.1617,0.4851,1.2537,0.64
469,XGBoost,Teste,0.4520,0.1750,2.2071,0.64
469,CatBoost,Treino,0.2788,0.1702,1.6262,1.72
469,CatBoost,Teste,0.4394,0.1693,1.8129,1.72
458,SAINT,Treino,0.0000,1.0000,0.0040,3.67
458,SAINT,Teste,0.0000,0.9941,0.0157,3.67
458,LightGBM,Treino,0.0000,0.9985,0.0069,0.10
458,LightGBM,Teste,0.0000,0.9822,0.0339,0.10
458,XGBoost,Treino,0.0001,0.9985,0.0605,0.38
458,XGBoost,Teste,0.0015,0.9586,0.1435,0.38
458,CatBoost,Treino,0.0005,0.3152,0.7104,1.91
458,CatBoost,Teste,0.0000,0.3197,0.7361,1.91
54,SAINT,Treino,0.0422,0.8373,0.3979,7.65
54,SAINT,Teste,0.0604,0.7765,0.4515,7.65
54,LightGBM,Treino,0.0091,0.9275,0.2768,0.32
54,LightGBM,Teste,0.0839,0.7059,0.5291,0.32
54,XGBoost,Treino,0.0020,0.9645,0.2116,0.45
54,XGBoost,Teste,0.0811,0.7471,0.5318,0.45
54,CatBoost,Treino,0.0896,0.2488,0.9380,1.04
54,CatBoost,Teste,0.0900,0.2488,0.9453,1.04
50,SAINT,Treino,0.9988,0.9817,0.0530,4.46
50,SAINT,Teste,0.9980,0.9896,0.0468,4.46
50,LightGBM,Treino,1.0000,1.0000,0.0045,0.23
50,LightGBM,Teste,0.9999,0.9896,0.0222,0.23
50,XGBoost,Treino,1.0000,0.9961,0.0506,0.14
50,XGBoost,Teste,0.9896,0.9792,0.1174,0.14
50,CatBoost,Treino,0.8536,0.7376,0.5719,0.31
50,CatBoost,Teste,0.8165,0.6771,0.5878,0.31
307,SAINT,Treino,0.0100,0.8573,0.7242,14.74
307,SAINT,Teste,0.0233,0.7576,0.8259,14.74
307,LightGBM,Treino,0.0000,0.9937,0.0188,0.70
307,LightGBM,Teste,0.0021,0.9444,0.1993,0.70
307,XGBoost,Treino,0.0001,0.9899,0.2237,2.45
307,XGBoost,Teste,0.0097,0.8586,0.4976,2.45
307,CatBoost,Treino,0.0166,0.0909,1.2612,2.70
307,CatBoost,Teste,0.0333,0.0909,1.3408,2.70
31,SAINT,Treino,0.8414,0.8037,0.4505,7.43
31,SAINT,Teste,0.8044,0.7000,0.5749,7.43
31,LightGBM,Treino,0.8726,0.8163,0.4415,0.05
31,LightGBM,Teste,0.7840,0.7050,0.5112,0.05
31,XGBoost,Treino,0.9070,0.8438,0.3890,0.13
31,XGBoost,Teste,0.8132,0.7350,0.4859,0.13
31,CatBoost,Treino,0.8247,0.7000,0.6664,0.68
31,CatBoost,Teste,0.7851,0.7000,0.6667,0.68
1494,SAINT,Treino,0.9991,0.9834,0.0395,12.41
1494,SAINT,Teste,0.9277,0.8720,0.5483,12.41
1494,LightGBM,Treino,0.9797,0.9289,0.2084,0.05
1494,LightGBM,Teste,0.9259,0.8531,0.3317,0.05
1494,XGBoost,Treino,0.9792,0.9277,0.1964,0.19
1494,XGBoost,Teste,0.9114,0.8626,0.3504,0.19
1494,CatBoost,Treino,0.9094,0.8140,0.6473,0.88
1494,CatBoost,Teste,0.8910,0.8009,0.6495,0.88
1468,SAINT,Treino,0.0000,1.0000,0.0385,9.06
1468,SAINT,Teste,0.0138,0.8657,0.4790,9.06
1468,LightGBM,Treino,0.0107,0.8750,0.5569,0.73
1468,LightGBM,Teste,0.0249,0.8009,0.7079,0.73
1468,XGBoost,Treino,0.0022,0.9363,0.2139,4.50
1468,XGBoost,Teste,0.0205,0.8472,0.4711,4.50
1468,CatBoost,Treino,0.0243,0.1111,1.9293,2.13
1468,CatBoost,Teste,0.0268,0.1111,1.9462,2.13
40966,SAINT,Treino,0.0000,1.0000,0.0004,9.84
40966,SAINT,Teste,0.0000,0.9954,0.0124,9.84
40966,LightGBM,Treino,0.0000,0.9977,0.0051,1.96
40966,LightGBM,Teste,0.0000,0.9907,0.0311,1.96
40966,XGBoost,Treino,0.0000,1.0000,0.1214,1.38
40966,XGBoost,Teste,0.0022,0.9583,0.2660,1.38
40966,CatBoost,Treino,0.0036,0.1263,0.6779,1.82
40966,CatBoost,Teste,0.0075,0.1268,0.7489,1.82
1068,SAINT,Treino,0.8981,0.9402,0.1731,3.19
1068,SAINT,Teste,0.8615,0.9279,0.2015,3.19
1068,LightGBM,Treino,0.9110,0.9301,0.1888,0.02
1068,LightGBM,Teste,0.8399,0.9324,0.2024,0.02
1068,XGBoost,Treino,0.9444,0.9380,0.1541,0.15
1068,XGBoost,Teste,0.8432,0.9324,0.1928,0.15
1068,CatBoost,Treino,0.7856,0.9301,0.5841,0.57
1068,CatBoost,Teste,0.7047,0.9324,0.5856,0.57
1462,SAINT,Treino,1.0000,1.0000,0.0002,6.21
1462,SAINT,Teste,1.0000,1.0000,0.0002,6.21
1462,LightGBM,Treino,1.0000,0.9991,0.0011,0.11
1462,LightGBM,Teste,1.0000,0.9964,0.0100,0.11
1462,XGBoost,Treino,1.0000,0.9982,0.0478,0.11
1462,XGBoost,Teste,0.9996,0.9927,0.0693,0.11
1462,CatBoost,Treino,0.9727,0.9152,0.5383,0.31
1462,CatBoost,Teste,0.9448,0.8582,0.5567,0.31
1049,SAINT,Treino,0.9680,0.9322,0.1465,4.28
1049,SAINT,Teste,0.9310,0.9281,0.2090,4.28
1049,LightGBM,Treino,0.9864,0.9605,0.1252,0.08
1049,LightGBM,Teste,0.9453,0.9041,0.1874,0.08
